anno_acc,id_ateneo,ateneo_breve,regione_dest,regione_res,imm_fuorisede,isc_fuorisede,imm_totali,isc_totali
2010/2011,00101,Torino,PIEMONTE,BASILICATA,imm_fs,isc_fs,14,159
2010/2011,00101,Torino,PIEMONTE,CALABRIA,imm_fs,isc_fs,46,463
2010/2011,00101,Torino,PIEMONTE,INTERNAZIONALE,imm_fs,isc_fs,202,942
2010/2011,00101,Torino,PIEMONTE,LIGURIA,imm_fs,isc_fs,158,907
2010/2011,00101,Torino,PIEMONTE,LOMBARDIA,imm_fs,isc_fs,11,858
2010/2011,00101,Torino,PIEMONTE,PIEMONTE,imm_nfs,isc_nfs,10022,58447
2010/2011,00101,Torino,PIEMONTE,PUGLIA,imm_fs,isc_fs,66,725
2010/2011,00101,Torino,PIEMONTE,SARDEGNA,imm_fs,isc_fs,19,390
2010/2011,00101,Torino,PIEMONTE,SICILIA,imm_fs,isc_fs,89,857
2010/2011,00101,Torino,PIEMONTE,VALLE D'AOSTA,imm_fs,isc_fs,198,1287
2010/2011,00102,Torino Politecnico,PIEMONTE,ABRUZZO,imm_fs,isc_fs,26,198
2010/2011,00102,Torino Politecnico,PIEMONTE,BASILICATA,imm_fs,isc_fs,64,285
2010/2011,00102,Torino Politecnico,PIEMONTE,CALABRIA,imm_fs,isc_fs,49,381
2010/2011,00102,Torino Politecnico,PIEMONTE,CAMPANIA,imm_fs,isc_fs,34,282
2010/2011,00102,Torino Politecnico,PIEMONTE,INTERNAZIONALE,imm_fs,isc_fs,404,2239
2010/2011,00102,Torino Politecnico,PIEMONTE,LAZIO,imm_fs,isc_fs,14,168
2010/2011,00102,Torino Politecnico,PIEMONTE,LIGURIA,imm_fs,isc_fs,67,451
2010/2011,00102,Torino Politecnico,PIEMONTE,LOMBARDIA,imm_fs,isc_fs,16,478
2010/2011,00102,Torino Politecnico,PIEMONTE,MOLISE,imm_fs,isc_fs,13,54
2010/2011,00102,Torino Politecnico,PIEMONTE,PIEMONTE,imm_nfs,isc_nfs,2853,16902
2010/2011,00102,Torino Politecnico,PIEMONTE,PUGLIA,imm_fs,isc_fs,355,1740
2010/2011,00102,Torino Politecnico,PIEMONTE,SARDEGNA,imm_fs,isc_fs,112,597
2010/2011,00102,Torino Politecnico,PIEMONTE,SICILIA,imm_fs,isc_fs,275,1200
2010/2011,00102,Torino Politecnico,PIEMONTE,VALLE D'AOSTA,imm_fs,isc_fs,99,421
2010/2011,00201,Piemonte Orientale,PIEMONTE,LOMBARDIA,imm_fs,isc_fs,171,1090
2010/2011,00201,Piemonte Orientale,PIEMONTE,PIEMONTE,imm_nfs,isc_nfs,1408,8094
2010/2011,00401,Scienze Gastronomiche,PIEMONTE,INTERNAZIONALE,imm_fs,isc_fs,28,61
2010/2011,00701,Aosta,VALLE D'AOSTA,PIEMONTE,imm_fs,isc_fs,18,209
2010/2011,00701,Aosta,VALLE D'AOSTA,VALLE D'AOSTA,imm_nfs,isc_nfs,157,932
2010/2011,01001,Genova,LIGURIA,INTERNAZIONALE,imm_fs,isc_fs,39,302
2010/2011,01001,Genova,LIGURIA,LIGURIA,imm_nfs,isc_nfs,5222,30946
2010/2011,01001,Genova,LIGURIA,LOMBARDIA,imm_fs,isc_fs,35,608
2010/2011,01001,Genova,LIGURIA,PIEMONTE,imm_fs,isc_fs,523,3208
2010/2011,01001,Genova,LIGURIA,SICILIA,imm_fs,isc_fs,37,395
2010/2011,01001,Genova,LIGURIA,TOSCANA,imm_fs,isc_fs,61,480
2010/2011,01201,LIUC,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,179,1278
2010/2011,01201,LIUC,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,13,118
2010/2011,01202,Insubria,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,46,234
2010/2011,01202,Insubria,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,1538,8617
2010/2011,01202,Insubria,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,27,204
2010/2011,01301,Novedrate,LOMBARDIA,CALABRIA,imm_fs,isc_fs,37,278
2010/2011,01301,Novedrate,LOMBARDIA,CAMPANIA,imm_fs,isc_fs,79,689
2010/2011,01301,Novedrate,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,16,51
2010/2011,01301,Novedrate,LOMBARDIA,LAZIO,imm_fs,isc_fs,108,917
2010/2011,01301,Novedrate,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,167,1268
2010/2011,01301,Novedrate,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,21,329
2010/2011,01301,Novedrate,LOMBARDIA,PUGLIA,imm_fs,isc_fs,48,437
2010/2011,01301,Novedrate,LOMBARDIA,SICILIA,imm_fs,isc_fs,44,642
2010/2011,01301,Novedrate,LOMBARDIA,UMBRIA,imm_fs,isc_fs,10,92
2010/2011,01301,Novedrate,LOMBARDIA,VENETO,imm_fs,isc_fs,26,346
2010/2011,01501,Milano,LOMBARDIA,ABRUZZO,imm_fs,isc_fs,11,161
2010/2011,01501,Milano,LOMBARDIA,BASILICATA,imm_fs,isc_fs,44,196
2010/2011,01501,Milano,LOMBARDIA,BOLZANO,imm_fs,isc_fs,13,71
2010/2011,01501,Milano,LOMBARDIA,CALABRIA,imm_fs,isc_fs,109,544
2010/2011,01501,Milano,LOMBARDIA,CAMPANIA,imm_fs,isc_fs,51,369
2010/2011,01501,Milano,LOMBARDIA,EMILIA ROMAGNA,imm_fs,isc_fs,129,771
2010/2011,01501,Milano,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,98,451
2010/2011,01501,Milano,LOMBARDIA,LAZIO,imm_fs,isc_fs,12,181
2010/2011,01501,Milano,LOMBARDIA,LIGURIA,imm_fs,isc_fs,57,314
2010/2011,01501,Milano,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,9871,51035
2010/2011,01501,Milano,LOMBARDIA,MARCHE,imm_fs,isc_fs,14,162
2010/2011,01501,Milano,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,421,2543
2010/2011,01501,Milano,LOMBARDIA,PUGLIA,imm_fs,isc_fs,163,911
2010/2011,01501,Milano,LOMBARDIA,SARDEGNA,imm_fs,isc_fs,13,234
2010/2011,01501,Milano,LOMBARDIA,SICILIA,imm_fs,isc_fs,227,1142
2010/2011,01501,Milano,LOMBARDIA,TOSCANA,imm_fs,isc_fs,13,243
2010/2011,01501,Milano,LOMBARDIA,TRENTO,imm_fs,isc_fs,26,151
2010/2011,01501,Milano,LOMBARDIA,VALLE D'AOSTA,imm_fs,isc_fs,13,97
2010/2011,01501,Milano,LOMBARDIA,VENETO,imm_fs,isc_fs,51,604
2010/2011,01502,Milano Politecnico,LOMBARDIA,ABRUZZO,imm_fs,isc_fs,89,410
2010/2011,01502,Milano Politecnico,LOMBARDIA,BASILICATA,imm_fs,isc_fs,33,196
2010/2011,01502,Milano Politecnico,LOMBARDIA,CALABRIA,imm_fs,isc_fs,58,306
2010/2011,01502,Milano Politecnico,LOMBARDIA,CAMPANIA,imm_fs,isc_fs,20,278
2010/2011,01502,Milano Politecnico,LOMBARDIA,EMILIA ROMAGNA,imm_fs,isc_fs,315,1857
2010/2011,01502,Milano Politecnico,LOMBARDIA,FRIULI VENEZIA GIULIA,imm_fs,isc_fs,33,236
2010/2011,01502,Milano Politecnico,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,48,616
2010/2011,01502,Milano Politecnico,LOMBARDIA,LAZIO,imm_fs,isc_fs,26,207
2010/2011,01502,Milano Politecnico,LOMBARDIA,LIGURIA,imm_fs,isc_fs,11,220
2010/2011,01502,Milano Politecnico,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,4863,28062
2010/2011,01502,Milano Politecnico,LOMBARDIA,MARCHE,imm_fs,isc_fs,74,356
2010/2011,01502,Milano Politecnico,LOMBARDIA,MOLISE,imm_fs,isc_fs,22,82
2010/2011,01502,Milano Politecnico,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,220,1358
2010/2011,01502,Milano Politecnico,LOMBARDIA,PUGLIA,imm_fs,isc_fs,163,955
2010/2011,01502,Milano Politecnico,LOMBARDIA,SICILIA,imm_fs,isc_fs,111,664
2010/2011,01502,Milano Politecnico,LOMBARDIA,TOSCANA,imm_fs,isc_fs,31,306
2010/2011,01502,Milano Politecnico,LOMBARDIA,TRENTO,imm_fs,isc_fs,34,253
2010/2011,01502,Milano Politecnico,LOMBARDIA,UMBRIA,imm_fs,isc_fs,25,131
2010/2011,01502,Milano Politecnico,LOMBARDIA,VENETO,imm_fs,isc_fs,263,1483
2010/2011,01503,Milano Bocconi,LOMBARDIA,ABRUZZO,imm_fs,isc_fs,56,283
2010/2011,01503,Milano Bocconi,LOMBARDIA,BASILICATA,imm_fs,isc_fs,32,183
2010/2011,01503,Milano Bocconi,LOMBARDIA,CALABRIA,imm_fs,isc_fs,46,330
2010/2011,01503,Milano Bocconi,LOMBARDIA,CAMPANIA,imm_fs,isc_fs,142,784
2010/2011,01503,Milano Bocconi,LOMBARDIA,EMILIA ROMAGNA,imm_fs,isc_fs,111,724
2010/2011,01503,Milano Bocconi,LOMBARDIA,FRIULI VENEZIA GIULIA,imm_fs,isc_fs,35,234
2010/2011,01503,Milano Bocconi,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,284,1265
2010/2011,01503,Milano Bocconi,LOMBARDIA,LAZIO,imm_fs,isc_fs,107,497
2010/2011,01503,Milano Bocconi,LOMBARDIA,LIGURIA,imm_fs,isc_fs,58,268
2010/2011,01503,Milano Bocconi,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,782,4224
2010/2011,01503,Milano Bocconi,LOMBARDIA,MARCHE,imm_fs,isc_fs,56,287
2010/2011,01503,Milano Bocconi,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,116,641
2010/2011,01503,Milano Bocconi,LOMBARDIA,PUGLIA,imm_fs,isc_fs,196,1076
2010/2011,01503,Milano Bocconi,LOMBARDIA,SARDEGNA,imm_fs,isc_fs,39,217
2010/2011,01503,Milano Bocconi,LOMBARDIA,SICILIA,imm_fs,isc_fs,166,753
2010/2011,01503,Milano Bocconi,LOMBARDIA,TOSCANA,imm_fs,isc_fs,68,373
2010/2011,01503,Milano Bocconi,LOMBARDIA,TRENTO,imm_fs,isc_fs,18,68
2010/2011,01503,Milano Bocconi,LOMBARDIA,UMBRIA,imm_fs,isc_fs,24,152
2010/2011,01503,Milano Bocconi,LOMBARDIA,VENETO,imm_fs,isc_fs,133,755
2010/2011,01504,Milano Cattolica,LOMBARDIA,ABRUZZO,imm_fs,isc_fs,36,310
2010/2011,01504,Milano Cattolica,LOMBARDIA,BASILICATA,imm_fs,isc_fs,129,747
2010/2011,01504,Milano Cattolica,LOMBARDIA,BOLZANO,imm_fs,isc_fs,56,220
2010/2011,01504,Milano Cattolica,LOMBARDIA,CALABRIA,imm_fs,isc_fs,87,645
2010/2011,01504,Milano Cattolica,LOMBARDIA,CAMPANIA,imm_fs,isc_fs,137,895
2010/2011,01504,Milano Cattolica,LOMBARDIA,EMILIA ROMAGNA,imm_fs,isc_fs,243,1561
2010/2011,01504,Milano Cattolica,LOMBARDIA,FRIULI VENEZIA GIULIA,imm_fs,isc_fs,27,137
2010/2011,01504,Milano Cattolica,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,85,247
2010/2011,01504,Milano Cattolica,LOMBARDIA,LAZIO,imm_fs,isc_fs,385,2212
2010/2011,01504,Milano Cattolica,LOMBARDIA,LIGURIA,imm_fs,isc_fs,41,348
2010/2011,01504,Milano Cattolica,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,4575,25302
2010/2011,01504,Milano Cattolica,LOMBARDIA,MARCHE,imm_fs,isc_fs,46,332
2010/2011,01504,Milano Cattolica,LOMBARDIA,MOLISE,imm_fs,isc_fs,26,267
2010/2011,01504,Milano Cattolica,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,240,1351
2010/2011,01504,Milano Cattolica,LOMBARDIA,PUGLIA,imm_fs,isc_fs,310,1815
2010/2011,01504,Milano Cattolica,LOMBARDIA,SARDEGNA,imm_fs,isc_fs,10,191
2010/2011,01504,Milano Cattolica,LOMBARDIA,SICILIA,imm_fs,isc_fs,196,1276
2010/2011,01504,Milano Cattolica,LOMBARDIA,TOSCANA,imm_fs,isc_fs,15,261
2010/2011,01504,Milano Cattolica,LOMBARDIA,TRENTO,imm_fs,isc_fs,12,121
2010/2011,01504,Milano Cattolica,LOMBARDIA,VENETO,imm_fs,isc_fs,124,680
2010/2011,01505,IULM,LOMBARDIA,EMILIA ROMAGNA,imm_fs,isc_fs,18,175
2010/2011,01505,IULM,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,19,62
2010/2011,01505,IULM,LOMBARDIA,LIGURIA,imm_fs,isc_fs,14,125
2010/2011,01505,IULM,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,518,2653
2010/2011,01505,IULM,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,28,249
2010/2011,01505,IULM,LOMBARDIA,VENETO,imm_fs,isc_fs,35,239
2010/2011,01508,Milano San Raffaele,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,184,1281
2010/2011,01509,Milano Bicocca,LOMBARDIA,BASILICATA,imm_fs,isc_fs,10,88
2010/2011,01509,Milano Bicocca,LOMBARDIA,CALABRIA,imm_fs,isc_fs,15,230
2010/2011,01509,Milano Bicocca,LOMBARDIA,CAMPANIA,imm_fs,isc_fs,10,135
2010/2011,01509,Milano Bicocca,LOMBARDIA,EMILIA ROMAGNA,imm_fs,isc_fs,26,249
2010/2011,01509,Milano Bicocca,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,17,148
2010/2011,01509,Milano Bicocca,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,5984,28094
2010/2011,01509,Milano Bicocca,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,206,1036
2010/2011,01509,Milano Bicocca,LOMBARDIA,PUGLIA,imm_fs,isc_fs,80,446
2010/2011,01509,Milano Bicocca,LOMBARDIA,SICILIA,imm_fs,isc_fs,37,373
2010/2011,01509,Milano Bicocca,LOMBARDIA,VENETO,imm_fs,isc_fs,26,170
2010/2011,01601,Bergamo,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,25,68
2010/2011,01601,Bergamo,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,2654,14474
2010/2011,01701,Brescia,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,2407,13522
2010/2011,01701,Brescia,LOMBARDIA,TRENTO,imm_fs,isc_fs,17,81
2010/2011,01701,Brescia,LOMBARDIA,VENETO,imm_fs,isc_fs,29,314
2010/2011,01801,Pavia,LOMBARDIA,ABRUZZO,imm_fs,isc_fs,12,83
2010/2011,01801,Pavia,LOMBARDIA,CALABRIA,imm_fs,isc_fs,40,295
2010/2011,01801,Pavia,LOMBARDIA,CAMPANIA,imm_fs,isc_fs,10,130
2010/2011,01801,Pavia,LOMBARDIA,EMILIA ROMAGNA,imm_fs,isc_fs,135,638
2010/2011,01801,Pavia,LOMBARDIA,INTERNAZIONALE,imm_fs,isc_fs,31,254
2010/2011,01801,Pavia,LOMBARDIA,LIGURIA,imm_fs,isc_fs,53,374
2010/2011,01801,Pavia,LOMBARDIA,LOMBARDIA,imm_nfs,isc_nfs,2658,15692
2010/2011,01801,Pavia,LOMBARDIA,PIEMONTE,imm_fs,isc_fs,597,2849
2010/2011,01801,Pavia,LOMBARDIA,PUGLIA,imm_fs,isc_fs,99,650
2010/2011,01801,Pavia,LOMBARDIA,SICILIA,imm_fs,isc_fs,139,861
2010/2011,01801,Pavia,LOMBARDIA,VENETO,imm_fs,isc_fs,24,184
2010/2011,02101,Bolzano,BOLZANO,BOLZANO,imm_nfs,isc_nfs,420,2088
2010/2011,02101,Bolzano,BOLZANO,INTERNAZIONALE,imm_fs,isc_fs,105,421
2010/2011,02101,Bolzano,BOLZANO,TRENTO,imm_fs,isc_fs,76,412
2010/2011,02201,Trento,TRENTO,BOLZANO,imm_fs,isc_fs,251,1480
2010/2011,02201,Trento,TRENTO,FRIULI VENEZIA GIULIA,imm_fs,isc_fs,16,99
2010/2011,02201,Trento,TRENTO,INTERNAZIONALE,imm_fs,isc_fs,71,429
2010/2011,02201,Trento,TRENTO,LOMBARDIA,imm_fs,isc_fs,136,661
2010/2011,02201,Trento,TRENTO,PUGLIA,imm_fs,isc_fs,11,118
2010/2011,02201,Trento,TRENTO,TRENTO,imm_nfs,isc_nfs,1431,8445
2010/2011,02201,Trento,TRENTO,VENETO,imm_fs,isc_fs,962,4489
2010/2011,02301,Verona,VENETO,BOLZANO,imm_fs,isc_fs,226,835
2010/2011,02301,Verona,VENETO,EMILIA ROMAGNA,imm_fs,isc_fs,32,168
2010/2011,02301,Verona,VENETO,INTERNAZIONALE,imm_fs,isc_fs,34,99
2010/2011,02301,Verona,VENETO,LOMBARDIA,imm_fs,isc_fs,577,3089
2010/2011,02301,Verona,VENETO,PUGLIA,imm_fs,isc_fs,11,115
2010/2011,02301,Verona,VENETO,SICILIA,imm_fs,isc_fs,20,269
2010/2011,02301,Verona,VENETO,TRENTO,imm_fs,isc_fs,384,1821
2010/2011,02301,Verona,VENETO,VENETO,imm_nfs,isc_nfs,3464,16912
2010/2011,02701,Ca Foscari,VENETO,EMILIA ROMAGNA,imm_fs,isc_fs,15,349
2010/2011,02701,Ca Foscari,VENETO,FRIULI VENEZIA GIULIA,imm_fs,isc_fs,122,804
2010/2011,02701,Ca Foscari,VENETO,INTERNAZIONALE,imm_fs,isc_fs,20,114
2010/2011,02701,Ca Foscari,VENETO,LOMBARDIA,imm_fs,isc_fs,73,657
2010/2011,02701,Ca Foscari,VENETO,TRENTO,imm_fs,isc_fs,13,148
2010/2011,02701,Ca Foscari,VENETO,VENETO,imm_nfs,isc_nfs,2503,14765
2010/2011,02702,IUAV,VENETO,EMILIA ROMAGNA,imm_fs,isc_fs,35,224
2010/2011,02702,IUAV,VENETO,FRIULI VENEZIA GIULIA,imm_fs,isc_fs,36,360
2010/2011,02702,IUAV,VENETO,INTERNAZIONALE,imm_fs,isc_fs,30,169
2010/2011,02702,IUAV,VENETO,MARCHE,imm_fs,isc_fs,14,86
2010/2011,02702,IUAV,VENETO,TRENTO,imm_fs,isc_fs,22,135
2010/2011,02702,IUAV,VENETO,VENETO,imm_nfs,isc_nfs,660,4521
2010/2011,02801,Padova,VENETO,ABRUZZO,imm_fs,isc_fs,10,157
2010/2011,02801,Padova,VENETO,BOLZANO,imm_fs,isc_fs,47,392
2010/2011,02801,Padova,VENETO,EMILIA ROMAGNA,imm_fs,isc_fs,53,668
2010/2011,02801,Padova,VENETO,FRIULI VENEZIA GIULIA,imm_fs,isc_fs,183,1595
2010/2011,02801,Padova,VENETO,INTERNAZIONALE,imm_fs,isc_fs,124,758
2010/2011,02801,Padova,VENETO,LOMBARDIA,imm_fs,isc_fs,201,1798
2010/2011,02801,Padova,VENETO,MARCHE,imm_fs,isc_fs,32,259
2010/2011,02801,Padova,VENETO,PUGLIA,imm_fs,isc_fs,54,746
2010/2011,02801,Padova,VENETO,SARDEGNA,imm_fs,isc_fs,24,259
2010/2011,02801,Padova,VENETO,SICILIA,imm_fs,isc_fs,49,668
2010/2011,02801,Padova,VENETO,TRENTO,imm_fs,isc_fs,165,1158
2010/2011,02801,Padova,VENETO,VENETO,imm_nfs,isc_nfs,9010,51786
2010/2011,03001,Udine,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,imm_nfs,isc_nfs,2141,12161
2010/2011,03001,Udine,FRIULI VENEZIA GIULIA,INTERNAZIONALE,imm_fs,isc_fs,35,208
2010/2011,03001,Udine,FRIULI VENEZIA GIULIA,VENETO,imm_fs,isc_fs,566,3592
2010/2011,03201,Trieste,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,imm_nfs,isc_nfs,1791,12396
2010/2011,03201,Trieste,FRIULI VENEZIA GIULIA,INTERNAZIONALE,imm_fs,isc_fs,186,1243
2010/2011,03201,Trieste,FRIULI VENEZIA GIULIA,TRENTO,imm_fs,isc_fs,12,86
2010/2011,03201,Trieste,FRIULI VENEZIA GIULIA,VENETO,imm_fs,isc_fs,633,4101
2010/2011,03401,Parma,EMILIA ROMAGNA,ABRUZZO,imm_fs,isc_fs,35,267
2010/2011,03401,Parma,EMILIA ROMAGNA,BASILICATA,imm_fs,isc_fs,85,496
2010/2011,03401,Parma,EMILIA ROMAGNA,BOLZANO,imm_fs,isc_fs,12,78
2010/2011,03401,Parma,EMILIA ROMAGNA,CALABRIA,imm_fs,isc_fs,82,555
2010/2011,03401,Parma,EMILIA ROMAGNA,CAMPANIA,imm_fs,isc_fs,37,334
2010/2011,03401,Parma,EMILIA ROMAGNA,EMILIA ROMAGNA,imm_nfs,isc_nfs,2900,16527
2010/2011,03401,Parma,EMILIA ROMAGNA,INTERNAZIONALE,imm_fs,isc_fs,33,171
2010/2011,03401,Parma,EMILIA ROMAGNA,LIGURIA,imm_fs,isc_fs,84,760
2010/2011,03401,Parma,EMILIA ROMAGNA,LOMBARDIA,imm_fs,isc_fs,677,4668
2010/2011,03401,Parma,EMILIA ROMAGNA,PUGLIA,imm_fs,isc_fs,491,2669
2010/2011,03401,Parma,EMILIA ROMAGNA,SICILIA,imm_fs,isc_fs,322,1549
2010/2011,03401,Parma,EMILIA ROMAGNA,TOSCANA,imm_fs,isc_fs,131,894
2010/2011,03401,Parma,EMILIA ROMAGNA,TRENTO,imm_fs,isc_fs,16,128
2010/2011,03401,Parma,EMILIA ROMAGNA,VENETO,imm_fs,isc_fs,44,704
2010/2011,03601,Modena e Reggio Emilia,EMILIA ROMAGNA,CALABRIA,imm_fs,isc_fs,18,258
2010/2011,03601,Modena e Reggio Emilia,EMILIA ROMAGNA,EMILIA ROMAGNA,imm_nfs,isc_nfs,2996,15326
2010/2011,03601,Modena e Reggio Emilia,EMILIA ROMAGNA,INTERNAZIONALE,imm_fs,isc_fs,26,137
2010/2011,03601,Modena e Reggio Emilia,EMILIA ROMAGNA,LOMBARDIA,imm_fs,isc_fs,103,1007
2010/2011,03601,Modena e Reggio Emilia,EMILIA ROMAGNA,PUGLIA,imm_fs,isc_fs,74,832
2010/2011,03601,Modena e Reggio Emilia,EMILIA ROMAGNA,TRENTO,imm_fs,isc_fs,12,77
2010/2011,03601,Modena e Reggio Emilia,EMILIA ROMAGNA,VENETO,imm_fs,isc_fs,14,416
2010/2011,03701,Bologna,EMILIA ROMAGNA,ABRUZZO,imm_fs,isc_fs,323,2255
2010/2011,03701,Bologna,EMILIA ROMAGNA,BASILICATA,imm_fs,isc_fs,132,999
2010/2011,03701,Bologna,EMILIA ROMAGNA,BOLZANO,imm_fs,isc_fs,55,410
