anno_acc,id_ateneo,ateneo_breve,codice_classe,laurea,lau_totali,isc_femmine,isc_maschi,isc_totali,isc_1anno
2010/2011,00101,Torino,18-BIS,scienze della formazione primaria,337,NA,NA,NA,209
2010/2011,00101,Torino,DS1,corso di laurea triennale interfacolta' in scienze strategiche,110,NA,NA,NA,42
2010/2011,00101,Torino,DS1/S,scienze strategiche e dei sistemi infrastrutturali,18,NA,NA,NA,11
2010/2011,00101,Torino,DS1/S,scienze strategiche e delle comunicazioni,13,NA,NA,NA,8
2010/2011,00101,Torino,DS1/S,scienze strategiche e logistiche,11,NA,NA,NA,12
2010/2011,00101,Torino,DS1/S,scienze strategiche e politico-organizzative,93,NA,NA,NA,74
2010/2011,00101,Torino,DS1/S,scienze strategiche ed economico-amministrative,10,NA,NA,NA,9
2010/2011,00101,Torino,L-11,lingue e letterature moderne,26,NA,NA,NA,161
2010/2011,00101,Torino,L-12,lingue e culture dell'asia e dell'africa,16,NA,NA,NA,230
2010/2011,00101,Torino,L-12,scienze della mediazione linguistica,33,NA,NA,NA,426
2010/2011,00101,Torino,L-13,scienze biologiche,51,NA,NA,NA,226
2010/2011,00101,Torino,L-16,scienze dell'amministrazione e consulenza del lavoro,49,NA,NA,NA,323
2010/2011,00101,Torino,L-21,scienze e cultura delle alpi,10,NA,NA,NA,24
2010/2011,00101,Torino,L-24,scienze e tecniche psicologiche,178,NA,NA,NA,388
2010/2011,00101,Torino,L-25,scienze e tecnologie agrarie,20,NA,NA,NA,139
2010/2011,00101,Torino,L-26,tecnologie alimentari,13,NA,NA,NA,121
2010/2011,00101,Torino,L-32,scienze naturali,19,NA,NA,NA,173
2010/2011,00101,Torino,L-34,scienze geologiche,9,NA,NA,NA,58
2010/2011,00101,Torino,L-36,scienze politiche,22,NA,NA,NA,242
2010/2011,00101,Torino,L-36,"studi internazionali, dello sviluppo e della cooperazione",61,NA,NA,NA,227
2010/2011,00101,Torino,L-41,scienze statistiche,19,NA,NA,NA,42
2010/2011,00101,Torino,LM-06,biologia cellulare e molecolare,23,NA,NA,NA,45
2010/2011,00101,Torino,LM-06,biologia dell'ambiente,16,NA,NA,NA,28
2010/2011,00101,Torino,LM-09,biotecnologie mediche,16,NA,NA,NA,45
2010/2011,00101,Torino,LM-09,biotecnologie molecolari,13,NA,NA,NA,17
2010/2011,00101,Torino,LM-17,fisica,28,NA,NA,NA,65
2010/2011,00101,Torino,LM-40,matematica,29,NA,NA,NA,68
2010/2011,00101,Torino,LM-51,psicologia,122,NA,NA,NA,190
2010/2011,00101,Torino,LM-51,psicologia clinica e di comunita,137,NA,NA,NA,259
2010/2011,00101,Torino,LM-51,psicologia dello sviluppo e dell'educazione,29,NA,NA,NA,26
2010/2011,00101,Torino,LM-51,scienze della mente,50,NA,NA,NA,69
2010/2011,00101,Torino,LM-52,scienze internazionali,113,NA,NA,NA,128
2010/2011,00101,Torino,LM-54,metodologie chimiche avanzate,12,NA,NA,NA,26
2010/2011,00101,Torino,LM-56,economia e management internazionale,17,NA,NA,NA,103
2010/2011,00101,Torino,LM-59,produzione e organizzazione della comunicazione e della conoscenza,11,NA,NA,NA,29
2010/2011,00101,Torino,LM-61,scienze degli alimenti e della nutrizione umana,10,NA,NA,NA,14
2010/2011,00101,Torino,LM-62,scienze del governo e dell'amministrazione,55,NA,NA,NA,109
2010/2011,00101,Torino,LM-63,scienze giuridiche per le amministrazioni pubbliche e private,16,NA,NA,NA,51
2010/2011,00101,Torino,LM-71,chimica industriale,11,NA,NA,NA,23
2010/2011,00101,Torino,LM-75,analisi e gestione dell'ambiente,10,NA,NA,NA,18
2010/2011,00101,Torino,LM-77,business administration,69,NA,NA,NA,160
2010/2011,00101,Torino,LM-77,economia e direzione delle imprese,71,NA,NA,NA,275
2010/2011,00101,Torino,LM-77,finanza aziendale e mercati finanziari,17,NA,NA,NA,105
2010/2011,00101,Torino,LM-77,professioni contabili,43,NA,NA,NA,140
2010/2011,00101,Torino,LM-81,"sviluppo, ambiente e cooperazione",42,NA,NA,NA,53
2010/2011,00101,Torino,LM-82,"scienze statistiche, economiche e manageriali",18,NA,NA,NA,31
2010/2011,00101,Torino,LM-87,politiche e servizi sociali,18,NA,NA,NA,41
2010/2011,00101,Torino,LM-88,sociologia,8,NA,NA,NA,39
2010/2011,00101,Torino,LMG/01,giurisprudenza,333,NA,NA,NA,919
2010/2011,00101,Torino,SNT1,infermieristica,273,NA,NA,NA,377
2010/2011,00101,Torino,SNT1,infermieristica  - (sede di asti),43,NA,NA,NA,77
2010/2011,00101,Torino,SNT1,infermieristica  - (sede di orbassano),164,NA,NA,NA,289
2010/2011,00101,Torino,SNT1,infermieristica  (valle d'aosta),9,NA,NA,NA,27
2010/2011,00101,Torino,SNT1,infermieristica pediatrica,23,NA,NA,NA,29
2010/2011,00101,Torino,SNT1,ostetricia,22,NA,NA,NA,25
2010/2011,00101,Torino,SNT1/S,corso di laurea specialistica in scienze infermieristiche e ostetriche,19,NA,NA,NA,25
2010/2011,00101,Torino,SNT2,educazione professionale,112,NA,NA,NA,102
2010/2011,00101,Torino,SNT2,fisioterapia,58,NA,NA,NA,50
2010/2011,00101,Torino,SNT2,logopedia,23,NA,NA,NA,30
2010/2011,00101,Torino,SNT2,tecnica della riabilitazione psichiatrica,10,NA,NA,NA,21
2010/2011,00101,Torino,SNT2,terapia della neuro e psicomotricita dell'eta evolutiva,8,NA,NA,NA,13
2010/2011,00101,Torino,SNT3,corso di laurea in igiene dentale,17,NA,NA,NA,31
2010/2011,00101,Torino,SNT3,dietistica,9,NA,NA,NA,20
2010/2011,00101,Torino,SNT3,tecniche audioprotesiche,8,NA,NA,NA,10
2010/2011,00101,Torino,SNT3,tecniche di laboratorio biomedico,37,NA,NA,NA,58
2010/2011,00101,Torino,SNT3,"tecniche di radiologia medica, per immagini e radioterapia",58,NA,NA,NA,67
2010/2011,00101,Torino,SNT3/S,scienze delle professioni sanitarie tecniche diagnostiche,12,NA,NA,NA,10
2010/2011,00101,Torino,SNT4,tecniche della prevenzione nell'ambiente e nei luoghi di lavoro,29,NA,NA,NA,30
2010/2011,00102,Torino Politecnico,LM-33,ingegneria della produzione industriale e dell'innovazione tecnologica,61,NA,NA,NA,129
2010/2011,00201,Piemonte Orientale,L-10,lettere,12,NA,NA,NA,60
2010/2011,00201,Piemonte Orientale,L-11,lingue straniere moderne,20,NA,NA,NA,99
2010/2011,00201,Piemonte Orientale,L-15,promozione e gestione del turismo,11,NA,NA,NA,81
2010/2011,00201,Piemonte Orientale,L-16,"scienze politiche, economiche, sociali e dell'amministrazione",25,NA,NA,NA,69
2010/2011,00201,Piemonte Orientale,L-18,economia aziendale,44,NA,NA,NA,424
2010/2011,00201,Piemonte Orientale,L-18,economia e amministrazione delle imprese,10,NA,NA,NA,63
2010/2011,00201,Piemonte Orientale,LM-13,chimica e tecnologia farmaceutiche,19,NA,NA,NA,72
2010/2011,00201,Piemonte Orientale,LM-13,farmacia,12,NA,NA,NA,86
2010/2011,00201,Piemonte Orientale,LM-37,lingue e letterature moderne europee e americane,9,NA,NA,NA,15
2010/2011,00201,Piemonte Orientale,LM-54,scienze chimiche,16,NA,NA,NA,11
2010/2011,00201,Piemonte Orientale,LM-56,"economia e politiche pubbliche, ambiente e cultura",15,NA,NA,NA,28
2010/2011,00201,Piemonte Orientale,LM-77,amministrazione e gestione,84,NA,NA,NA,138
2010/2011,00201,Piemonte Orientale,LM-88,societa e sviluppo locale,8,NA,NA,NA,7
2010/2011,00201,Piemonte Orientale,LMG/01,giurisprudenza,63,NA,NA,NA,155
