anno_acc,anno_sol,id_ateneo,ateneo_breve,imm_maschi,imm_femmine,imm_fs,imm_nfs,imm_totali_s,imm_totali,isc_maschi,isc_femmine,isc_1anno,isc_fs,isc_nfs,isc_totali,lau_maschi,lau_femmine,lau_totali
2018/2019,2019,00101,Torino,4953,7999,1901,10680,808,12952,28294,44604,20992,14592,57077,72898,5370,8537,13907
2018/2019,2019,00102,Torino Politecnico,3567,1466,2202,2621,570,5033,23148,9112,10847,17047,14776,32260,5238,2255,7493
2018/2019,2019,00201,Piemonte Orientale,1240,2040,862,2156,229,3280,4913,7734,4092,3284,8827,12647,824,1539,2363
2018/2019,2019,00401,Scienze Gastronomiche,43,34,28,13,30,77,192,168,130,79,119,360,59,44,103
2018/2019,2019,00701,Aosta,67,153,55,125,24,220,316,709,314,273,615,1025,59,207,266
2018/2019,2019,01001,Genova,2599,3024,534,4788,535,5623,13521,16750,8939,3927,24974,30271,2474,3320,5794
2018/2019,2019,01201,LIUC,258,143,22,275,9,401,1491,794,887,183,1502,2285,436,226,662
2018/2019,2019,01202,Insubria,1267,1681,107,2708,170,2948,4875,5828,3519,505,9826,10703,746,1123,1869
2018/2019,2019,01301,Novedrate,1266,1171,1778,425,124,2437,7629,7994,6669,12783,2509,15623,1261,1484,2745
2018/2019,2019,01501,Milano,4324,6312,1543,8706,683,10636,24681,34731,17190,11329,47610,59412,4684,7192,11876
2018/2019,2019,01502,Milano Politecnico,5260,2550,2499,4992,367,7810,29789,14857,14663,18727,25895,44646,7838,4450,12288
2018/2019,2019,01503,Milano Bocconi,1664,1073,1640,869,517,2737,7763,5763,4706,9413,4034,13526,2551,2168,4719
2018/2019,2019,01504,Milano Cattolica,2662,5123,2382,4834,530,7785,13714,26148,12858,16679,23072,39862,3542,6790,10332
2018/2019,2019,01505,IULM,440,1181,303,1004,77,1621,1797,4454,2323,1916,3644,6251,398,1090,1488
2018/2019,2019,01508,Milano San Raffaele,197,291,89,197,40,488,1088,1722,888,685,1397,2810,226,419,645
2018/2019,2019,01509,Milano Bicocca,2161,3244,329,4714,275,5405,12880,20256,9609,3791,28003,33136,2632,4460,7092
